,text,likes,timestamp
41,"The opposition bloc INDIA has been forced to bring the no-confidence motion against the government to break Prime Minister Narendra Modi's ""vow of silence"" on Manipur. 

This government which talks about one India has created two Manipurs -- one living in the hills and the other…",10,08-09-2023
42,"‘She is a minor, I am worried: Father of Dehraduni singer files complaint against Prashant Bhushan after he spread fake news amid Manipur unrest, talks to OpIndia

opindia.com/2023/08/father-d…",2041,08-08-2023
43,"𝗥𝗘𝗦𝗧𝗢𝗥𝗘 𝗔𝗙𝗦𝗣𝗔
This is how Indian Army were being treated! FIR against one Jawan. Indian Army is something that cannot be pushed around by a state forces. Unlike the state forces they're working day & night selflessly to bring back normalcy in, Manipur. Working hard to…",419,08-08-2023
44,"जो बात प्रधानमंत्री को बोलनी चाहिए वो बात राहुल गांधी सदन में बोलेंगे: @LambaAlka

#Rahul_is_Back #RahulGandhiVoiceOfIndia
#Manipur #Haryana 
#TrainFiring #Modani #Employment #PriceHike",2,08-08-2023
45,Congress had not only insulted North East people but also neglected the region which had resulted in the formation of large numbers of militant organizations. The present problem in Manipur is the result of the long Congress misrule.,288,08-08-2023
46,"Here is another video that exposes Manipur Police Commandos & Meitei armed groups sinister design  to pitch the Muslims against the Kuki-Zo people by using Masjid as bunker at Kwata Bisnupur District.
@afridahussai @vijaita @BDUTT @NELiveTV @IndiaTodayNE @ITLFMedia_Cell",451,08-08-2023
47,"मणिपुर पर पीएम मोदी से INDIA के ३ तीखे सवाल जिनके जवाब मोदी जी से देते नहीं बन रहे हैं।
#Manipur🔥 
#ManipurBurning🔥 
#ManipurViolence🔥 
#YuvaMaharashtra🧡",0,08-09-2023
48,"#Manipur CM Biren Singh is a DRUG MAFIA. 
A sensible woman slap all meitei radicals who portrayed the whole community of Kuki-Zo as Narco Terrorists. 
Infact, she courageously exposed Biren & his wife involvement in Drug Cartel and further said he is the patron of Drug Mafias.…",727,08-07-2023
49,Bjp dangayi party hai sab jante hain. Satta ke liye ye danga karwati hai. Jaise Manipur hariyana men karwati hai.,0,08-09-2023
50,A bizarre situation where the @official_dgar unit is getting implicated by Manipur Police.,4,08-09-2023
51,Congress deputy leader in Lok Sabha Mr @GauravGogoiAsm leads debate from INDIA alliance side on #Manipur in #LokSabha,2800,08-08-2023
52,"Today, a sea of Punjab #farmers protesting against #Manipur violence !!",5479,08-06-2023
53,"Those who talk of one India have made two Manipur 🔥🔥

- Gaurav Gogoi",547,08-08-2023
54,"Here is the actual truth
At first the Kuki Zo Terrorist killed 3 civilians at midnight while they slept. And the next day the same terrorist group attack the Muslim village. This footage shows how Manipur Police commandos are performing their task to protect the civilians.",0,08-09-2023
55,Tere jese Chamanchaap anchor Manipur pr 3 mahine tak chup bethe rahe iske baad bhi ab koi teri dallali ke saboot nahi mange ga🥱🥱🥱,1,08-09-2023
